id,record_type,title,year,authors,journal_or_publisher,pmid,pmcid,doi,source_database,url,study_type,clinical_topic,drugs,adverse_effects,population,open_access,full_text_status,priority,verification_status
TB-G001,guideline,WHO consolidated guidelines on tuberculosis: module 4: treatment and care,2025,World Health Organization,World Health Organization,,,,WHO,https://www.who.int/publications/i/item/9789240107243,Clinical guideline,Drug-susceptible TB; drug-resistant TB; treatment and care,Multiple anti-TB drugs,Multiple,Adults; adolescents; children where applicable,Yes,Official WHO publication,A,Verified official source
TB-G002,guideline,WHO consolidated operational handbook on tuberculosis: module 4: treatment and care,2025,World Health Organization,World Health Organization,,,,WHO,https://www.who.int/publications/i/item/9789240108141,Operational handbook,Implementation of TB treatment and care,Multiple anti-TB drugs,Monitoring and management,People affected by TB,Yes,Official WHO publication,A,Verified official source
TB-G003,guideline,WHO consolidated guidelines on tuberculosis: module 3: diagnosis,2025,World Health Organization,World Health Organization,,,,WHO,https://www.who.int/publications/i/item/9789240107984,Clinical guideline,"Diagnosis of TB infection, disease and drug resistance",,,People evaluated for TB,Yes,Official WHO publication,A,Verified official source
TB-G004,guideline,"WHO operational handbook on tuberculosis Module 1: prevention - tuberculosis preventive treatment, second edition",2024,World Health Organization,World Health Organization,,,,WHO,https://www.who.int/publications/i/item/9789240097773,Operational handbook,Tuberculosis preventive treatment / latent TB,Preventive treatment regimens,Treatment monitoring,People eligible for TB preventive treatment,Yes,Official WHO publication,A,Verified official source
TB-G005,guideline,"WHO consolidated guidelines on tuberculosis: module 6: tuberculosis and comorbidities, 2nd ed.",2025,World Health Organization,World Health Organization,,,,WHO,https://www.who.int/publications/i/item/9789240111967,Clinical guideline,TB and comorbidities,Multiple,,People with TB and comorbidities,Yes,Official WHO publication,A,Verified official source
TB-G006,guideline,Updates on the Treatment of Drug-Susceptible and Drug-Resistant Tuberculosis: An Official ATS/CDC/ERS/IDSA Clinical Practice Guideline,2025,Saukkonen JJ et al.,Clinical Infectious Diseases / ATS-CDC-ERS-IDSA,40693952.0,PMC11755361,,PubMed/MEDLINE; PMC,https://pubmed.ncbi.nlm.nih.gov/40693952/,Clinical practice guideline,Drug-susceptible and drug-resistant TB treatment,HRZE; rifapentine; moxifloxacin; bedaquiline; pretomanid; linezolid,Regimen safety,Adults; adolescents; children where eligible,Yes (PMC),PMC available,A,Verified PubMed
TB-G007,guideline,Treatment of Drug-Resistant Tuberculosis. An Official ATS/CDC/ERS/IDSA Clinical Practice Guideline,2019,Nahid P et al.,American Journal of Respiratory and Critical Care Medicine,31729908.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/31729908/,Clinical practice guideline,Drug-resistant TB; MDR-TB; isoniazid-resistant TB,Multiple second-line drugs,Multiple,Drug-resistant TB,Unknown in this dataset,Reference verified; rights not assessed,A,Verified PubMed
TB-G008,guideline,"Guidelines for the Treatment of Latent Tuberculosis Infection: Recommendations from the NTCA and CDC, 2020",2020,Sterling TR et al.,MMWR Recommendations and Reports,32053584.0,,,PubMed/MEDLINE; CDC,https://pubmed.ncbi.nlm.nih.gov/32053584/,Clinical guideline,Latent tuberculosis infection,Isoniazid; rifampin; rifapentine,Hepatotoxicity and regimen toxicity,LTBI,Yes,Official CDC publication,A,Verified PubMed
TB-G009,guideline,Treatment of Drug-Susceptible Tuberculosis: Official ATS/CDC/IDSA Clinical Practice Guidelines,2016,Nahid P et al.,Clinical Infectious Diseases,27516382.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/27516382/,Clinical practice guideline,Drug-susceptible TB,Isoniazid; rifampin; pyrazinamide; ethambutol and others,Treatment management,Children and adults,Unknown in this dataset,Reference verified; rights not assessed,A,Verified PubMed
TB-A001,article,"A 24-Week, All-Oral Regimen for Rifampin-Resistant Tuberculosis",2022,Nyang'wa BT et al.,New England Journal of Medicine,36546625.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/36546625/,Randomized clinical trial,Rifampin-resistant TB; BPaLM,Bedaquiline; pretomanid; linezolid; moxifloxacin,Serious and grade ≥3 adverse events,Rifampin-resistant TB,Unknown in this dataset,Reference verified; rights not assessed,A,Verified PubMed
TB-A002,article,Short oral regimens for pulmonary rifampicin-resistant tuberculosis (TB-PRACTECAL),2024,Nyang'wa BT et al.,The Lancet Respiratory Medicine,37980911.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/37980911/,Randomized controlled trial report,Pulmonary rifampicin-resistant TB; short oral regimens,Bedaquiline; pretomanid; linezolid; moxifloxacin,Grade ≥3 and serious adverse events,Pulmonary rifampicin-resistant TB,Unknown in this dataset,Reference verified; rights not assessed,A,Verified PubMed
TB-A003,article,Pretomanid for tuberculosis: a systematic review,2022,Gils T et al.,Clinical Microbiology and Infection,34400340.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/34400340/,Systematic review,Pretomanid-containing TB regimens,Pretomanid; bedaquiline; linezolid; moxifloxacin; pyrazinamide,Hepatotoxicity; linezolid toxicity,Drug-susceptible and drug-resistant TB studies,Unknown in this dataset,Reference verified; rights not assessed,A,Verified PubMed
TB-A004,article,Incidence and risk factors of antituberculosis drug-induced liver injury: a systematic review and meta-analysis,2025,Kumar R et al.,Journal not yet transcribed from source,39225936.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/39225936/,Systematic review and meta-analysis,Anti-TB drug-induced liver injury,First-line anti-TB drugs,Hepatotoxicity / AT-DILI,Adults with tuberculosis,Unknown in this dataset,Reference verified; metadata enrichment pending,A,Verified PubMed
TB-A005,article,Ethambutol optic neuropathy in the extended anti-tubercular therapy regime: a systematic review,2023,Sabhapandit S et al.,Indian Journal of Ophthalmology,36872667.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/36872667/,Systematic review,Ethambutol optic neuropathy,Ethambutol,Optic neuropathy; visual acuity; color vision; visual field defects,People receiving extended ethambutol therapy,PMC link indicated by PubMed search result,Likely PMC; verify license before redistribution,A,Verified PubMed
TB-A006,article,Nationwide usage of ethambutol and incidence and screening practices of optic neuropathy,2024,Kim J; Kwon HY; Ahn SJ,Frontiers in Pharmacology,39474613.0,PMC11518835,10.3389/fphar.2024.1461111,PubMed/MEDLINE; PMC,https://pubmed.ncbi.nlm.nih.gov/39474613/,Population-based cohort study,Ethambutol optic neuropathy; screening,Ethambutol,Optic neuropathy; optic atrophy; visual impairment,"206,157 ethambutol initiators in South Korea",Yes (PMC),PMC available,A,Verified PubMed/PMC/DOI
TB-A007,article,Visual Recovery Time in Patients with Ethambutol-induced Toxic Optic Neuropathy,2024,Authors pending enrichment,Journal pending enrichment,38351490.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/38351490/,Clinical observational study,Ethambutol-induced optic neuropathy recovery,Ethambutol,Toxic optic neuropathy,Patients with ethambutol-induced optic neuropathy,Unknown in this dataset,Reference verified; metadata enrichment pending,B,Verified PubMed
TB-A008,article,Risk Factors of Optic Neuropathy in Ethambutol Users,2024,Authors pending enrichment,Journal pending enrichment,39195651.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/39195651/,Observational risk-factor study,Ethambutol optic neuropathy risk factors,Ethambutol,Optic neuropathy,Ethambutol users,Unknown in this dataset,Reference verified; metadata enrichment pending,B,Verified PubMed
TB-A009,article,Ethambutol Optic Neuropathy Surveillance: Variations in Real-World Screening Practices,2025,Kim J et al.,Journal pending enrichment,40140258.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/40140258/,Nationwide cohort / surveillance study,Ethambutol optic neuropathy surveillance,Ethambutol,Optic neuropathy,Ethambutol users,Unknown in this dataset,Reference verified; metadata enrichment pending,B,Verified PubMed
TB-A010,article,Ethambutol optic neuropathy,2025,Sudhakar P et al.,Journal pending enrichment,41018187.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/41018187/,Minireview,"Ethambutol optic neuropathy: features, screening, diagnosis and treatment",Ethambutol,Optic neuropathy,Patients receiving ethambutol,Unknown in this dataset,Reference verified; metadata enrichment pending,B,Verified PubMed
TB-A011,article,"Diagnosis, prevention and risk-management of drug-induced liver injury due to medications used to treat Mycobacterium tuberculosis",2024,Lewis JH et al.,Expert Opinion on Drug Safety,39212296.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/39212296/,Review,"Anti-tuberculosis drug-induced liver injury: diagnosis, prevention and management",Isoniazid; rifampicin; pyrazinamide; other anti-TB drugs,Drug-induced liver injury / hepatotoxicity,People receiving treatment for tuberculosis,Unknown in this dataset,Reference verified; rights not assessed,A,Verified PubMed
TB-A012,article,Antitubercular drugs induced liver injury: an updated review,2023,Ezhilarasan D et al.,Journal pending enrichment,37218081.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/37218081/,Review,Mechanisms and pathogenesis of anti-TB drug-induced liver injury,Isoniazid; rifampicin; pyrazinamide,Hepatotoxicity / DILI,People exposed to anti-tuberculosis drugs,Unknown in this dataset,Reference verified; metadata enrichment pending,A,Verified PubMed
TB-A013,article,Anti-tuberculosis drug-induced liver injury,2023,Lim WS,BMJ,37890885.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/37890885/,Clinical review,Recognition and management of anti-TB drug-induced liver injury,First-line anti-TB drugs,Hepatotoxicity / DILI,People receiving anti-tuberculosis treatment,Unknown in this dataset,Reference verified; rights not assessed,A,Verified PubMed
TB-A014,article,Managing Hepatotoxicity Caused by Anti-tuberculosis Drugs: A Comparative Study of Approaches,2024,Abbaspour F; Hasannezhad M; Khalili H; SeyedAlinaghi SA; Jafari S,Archives of Iranian Medicine,38685836.0,PMC11097316,10.34172/aim.2024.19,PubMed/MEDLINE; PMC,https://pubmed.ncbi.nlm.nih.gov/38685836/,Comparative retrospective study,Management and rechallenge after anti-TB drug hepatotoxicity,Anti-tuberculosis regimen,Drug-induced hepatotoxicity / DILI,Patients admitted with anti-TB treatment-related hepatotoxicity,Yes (CC BY 4.0),PMC available,A,Verified PubMed/PMC/DOI
TB-A015,article,Drug-induced liver injury from antituberculous treatment: a retrospective study from a large TB centre in the UK,2017,Abbara A et al.,BMC Infectious Diseases,28340562.0,,10.1186/s12879-017-2330-z,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/28340562/,Retrospective cohort study,"Timing, risk factors, outcomes and management of anti-TB DILI",First-line and other anti-TB drugs,Drug-induced liver injury,Patients treated at a large UK tuberculosis centre,Yes (BMC article),Reference verified; open-access publisher,A,Verified PubMed
TB-A016,article,Hepatotoxicity and tuberculosis treatment outcomes in chronic liver disease,2023,Edwards BD et al.,Journal pending enrichment,37008589.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/37008589/,Observational study,Tuberculosis treatment in patients with chronic liver disease,Isoniazid-containing and other anti-TB regimens,Drug-induced liver injury,Patients with tuberculosis and chronic liver disease,Unknown in this dataset,Reference verified; metadata enrichment pending,A,Verified PubMed
TB-A017,article,"Efficacy, safety, and pharmacokinetics of isoniazid affected by NAT2 polymorphisms in patients with tuberculosis: A systematic review",2024,Surarak T; Chumnumwat S; Nosoongnoen W; Tragulpiankit P,Clinical and Translational Science,38629592.0,PMC11022300,10.1111/cts.13795,PubMed/MEDLINE; PMC; Wiley,https://pubmed.ncbi.nlm.nih.gov/38629592/,Systematic review,"NAT2, isoniazid pharmacokinetics, efficacy and safety",Isoniazid,Drug-induced liver injury / hepatotoxicity,Adults and children with tuberculosis,Yes (PMC),PMC available,A,Verified PubMed/PMC/DOI
TB-A018,article,Pharmacogenomic insights into tuberculosis treatment: a systematic review and meta-analysis of NAT2 polymorphisms and hepatotoxicity,2024,Mahajan R et al.,BMC Medical Genomics,,PMC11622454,10.1186/s12863-024-01286-y,PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC11622454/,Systematic review and meta-analysis,NAT2 slow acetylation and anti-TB hepatotoxicity,Isoniazid-containing regimens,Hepatotoxicity,Tuberculosis patients across multiple ethnic groups,Yes (PMC),PMC available,A,Verified PMC/DOI
TB-A019,article,Alcohol consumption as a risk factor for anti-tuberculosis drug-induced liver injury: a systematic review and meta-analysis,2024,Zhang F et al.,Journal pending enrichment,39393473.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/39393473/,Systematic review and meta-analysis,Alcohol as a risk factor for AT-DILI,Anti-tuberculosis drugs,Drug-induced liver injury,Patients receiving anti-tuberculosis treatment,Unknown in this dataset,Reference verified; metadata enrichment pending,A,Verified PubMed
TB-A020,article,Clinical Features of Anti-Tuberculosis Drug-Induced Liver Injury and Risk Factors for Severe Liver Injury,2025,Zhang S et al.,Journal pending enrichment,40303606.0,,,PubMed/MEDLINE,https://pubmed.ncbi.nlm.nih.gov/40303606/,Clinical observational study,Clinical phenotype and severity predictors of ATB-DILI,Anti-tuberculosis drugs,Drug-induced liver injury,Hospitalized TB patients with ATB-DILI,Unknown in this dataset,Reference verified; metadata enrichment pending,B,Verified PubMed
TB-A021,article,NAT2 acetylation status predicts hepatotoxicity during antituberculosis therapy: cumulative risk analysis of a multiethnic cohort,2025,Schiuma M et al.,Journal pending enrichment,,PMC12027989,,PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC12027989/,Multiethnic cohort study,NAT2 phenotype and cumulative hepatotoxicity risk,Standard anti-TB therapy; isoniazid-containing regimens,Hepatotoxicity / ATDH,Multiethnic patients receiving standard anti-TB therapy,Yes (PMC),PMC available,B,Verified PMC
